Time,Runner,Pokemon,Category,Overall IV,ATK,ATK Total w/stones,HP,Stone 1,Stone 2,Stone 3,Bingo 1,Bingo 2,Bingo 3,Status,Video
0.41,KawhiKnot,Hitmonlee,12-Boss,86.50%,1135,9999,538,WL,WL,Sc,ATK +5%,ATK +15%,ATK +20%,WR,https://www.youtube.com/watch?v=e7TJD0d2SNA
0.41,KawhiKnot,Weepinbell,12-Boss,60.50%,846,9810,675,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,WR,https://www.youtube.com/watch?v=e7TJD0d2SNA
0.41,KawhiKnot,Machop,12-Boss,33.00%,533,8410,533,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,WR,https://www.youtube.com/watch?v=e7TJD0d2SNA
0.42,KawhiKnot,Weepinbell,12-Boss,60.50%,846,9752,675,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=kUPfaxui-RM
0.42,KawhiKnot,Hitmonlee,12-Boss,86.50%,1135,9999,538,WL,WL,Sc,ATK +5%,ATK +15%,ATK +20%,Legacy,https://www.youtube.com/watch?v=kUPfaxui-RM
0.42,KawhiKnot,Machop,12-Boss,33.00%,533,8351,533,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=kUPfaxui-RM
0.43,KawhiKnot,Hitmonlee,12-Boss,86.50%,1135,9999,538,WL,Sc,Sc,ATK +5%,ATK +15%,ATK +20%,Legacy,https://www.youtube.com/watch?v=AvPm3XbhBdQ
0.43,KawhiKnot,Weepinbell,12-Boss,60.50%,846,9757,675,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=AvPm3XbhBdQ
0.43,KawhiKnot,Machop,12-Boss,33.00%,533,8341,533,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=AvPm3XbhBdQ
0.43,stealthstack,Hitmonlee,12-Boss,80.50%,1126,9999,535,WL,WL,Sc,ATK +5%,ATK +15%,ATK +20%,PB,https://www.youtube.com/watch?v=fIzl9anLhzA&pp=ygUVc3RlYWx0aHN0YWNrIHNwZWVkcnVu
0.43,stealthstack,Weepinbell,12-Boss,88.50%,833,8741,744,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,PB,https://www.youtube.com/watch?v=fIzl9anLhzA&pp=ygUVc3RlYWx0aHN0YWNrIHNwZWVkcnVu
0.43,stealthstack,Machop,12-Boss,49.00%,568,6488,530,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=fIzl9anLhzA&pp=ygUVc3RlYWx0aHN0YWNrIHNwZWVkcnVu
0.44,Drew,Weepinbell,12-Boss,9.00%,459,9365,359,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,PB,https://www.youtube.com/watch?v=lx60lnpxxJ8
0.44,Drew,Hitmonlee,12-Boss,30.00%,1100,9985,460,WL,WL,Sc,ATK +5%,ATK +15%,ATK +20%,PB,https://www.youtube.com/watch?v=lx60lnpxxJ8
0.44,Drew,Machop,12-Boss,72.00%,619,7495,525,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,PB,https://www.youtube.com/watch?v=lx60lnpxxJ8
0.44,KawhiKnot,Hitmonlee,12-Boss,86.50%,1135,9999,538,WL,Sc,Sc,ATK +5%,ATK +15%,ATK +20%,Legacy,https://youtu.be/G-Wy3MHMsio?si=A0B2JAWLVOXtaPef
0.44,KawhiKnot,Weepinbell,12-Boss,60.50%,846,9766,675,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,Legacy,https://youtu.be/G-Wy3MHMsio?si=A0B2JAWLVOXtaPef
0.44,KawhiKnot,Machop,12-Boss,33.00%,533,8377,533,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://youtu.be/G-Wy3MHMsio?si=A0B2JAWLVOXtaPef
0.44,stealthstack,Weepinbell,12-Boss,88.50%,833,8748,744,WW,BB,BB,WAIT -5%,ATK +15%,ATK +15%,Legacy,https://www.youtube.com/watch?v=iuzbCYADC3Y&pp=ygUVc3RlYWx0aHN0YWNrIHNwZWVkcnVu
0.44,stealthstack,Hitmonlee,12-Boss,41.50%,1072,9987,511,WL,Sc,Sc,WAIT -5%,ATK +15%,ATK +20%,Legacy,https://www.youtube.com/watch?v=iuzbCYADC3Y&pp=ygUVc3RlYWx0aHN0YWNrIHNwZWVkcnVu
0.44,stealthstack,Machop,12-Boss,49.00%,568,6496,530,Sh,Sh,Sh,WAIT -5%,WAIT -20%,WAIT -20%,Legacy,https://www.youtube.com/watch?v=iuzbCYADC3Y&pp=ygUVc3RlYWx0aHN0YWNrIHNwZWVkcnVu
0.46,Drew,Hitmonlee,12-Boss,30.00%,1100,9976,460,WL,WL,Sc,ATK +5%,ATK +15%,ATK +20%,Legacy,https://www.youtube.com/watch?v=B5A_RYKCIek
